source,category,shorthand,fullDescription,keywords
CCCS CPG(2015) 4.4,Composition of Enteral Nutrition,pH,There are insufficient data to make a recommendation regarding the use of low pH feeds in critically ill patients.,"['pH', 'Feeds']"
CCCS CPG(2015) 4.5,Composition of Enteral Nutrition,Fibre,There are insufficient data to support the routine use of fibre (soluble or insoluble) in enteral feeding formulas in critically ill patients.,['Fibre']
CCCS CPG(2015) 5.1,Strategies to Optimize Delivery and Minimize risk of Enteral Nutrition,Feeding Protocols,"Based on 2 level 2 studies and 3 cluster randomized controlled trials, a feeding protocol should be considered that incorporates strategies to optimize delivery of enteral nutrition in critically ill adult patients.","['Feeding', 'Protocols', 'Optimization', 'Strategies']"
CCCS CPG(2015) 5.2,Strategies to Optimize Delivery and Minimize risk of Enteral Nutrition,Motility Agents,"Based on 1 level 1 study and 5 level 2 studies, in critically ill patients who experience feed intolerance (high gastric residuals, emesis), we recommend the use of a promotility agent. Given the safety concerns associated with erythromycin, the recommendation is made for metoclopramide. There are insufficient data to make a recommendation about the use of combined use of metoclopramide and erythromycin.","['Feed', 'Intolerance', 'High', 'Gastric', 'Residuals', 'Emesis', 'Promotility', 'Agent', 'Erythromycin', 'Metaclopromide']"
CCCS CPG(2015) 5.3,Strategies to Optimize Delivery and Minimize risk of Enteral Nutrition,Small Bowel Feeding vs. Gastric,"Based on 16 level 2 studies, small bowel feeding compared to gastric feeding may be associated with a reduction in pneumonia in critically ill patients. In units where small bowel access is feasible, we recommend the routine use of small bowel feedings. In units where obtaining access involves more logistical difficulties, small bowel feedings should be considered for patients at high risk for intolerance to EN (on inotropes, continuous infusion of sedatives, or paralytic agents, or patients with high nasogastric drainage) or at high risk for regurgitation and aspiration (nursed in supine position). Finally, where obtaining small bowel access is not feasible (no access to fluoroscopy or endoscopy and blind techniques not reliable), small bowel feedings should be considered for those select patients that repeatedly demonstrate high gastric residuals and are not tolerating adequate amounts of EN intragastrically.","['Pneumonia', 'Enteral', 'Access', 'Enteral', 'Intorlerance', 'Regurgitation', 'Aspiration', 'Small', 'Bowel', 'Access', 'High', 'Gastric', 'Residuals', 'Small', 'Bowel', 'Feeding']"
CCCS CPG(2015) 5.4,Strategies to Optimize Delivery and Minimize risk of Enteral Nutrition,Body position,"Based on 1 level 1 and 1 level 2 study, we recommend that critically ill patients receiving enteral nutrition have the head of the bed elevated to 45 degrees. Where this is not possible, attempts to raise the head of the bed as much as possible should be considered.","['Bed', 'Elevation', 'Bed', 'Elevation']"
CCCS CPG(2015) 5.5,Strategies to Optimize Delivery and Minimize risk of Enteral Nutrition,Use of and Threshold for Gastric Residual Volumes,"Based on 3 level 2 studies, a gastric residual volume of either 250 or 500 mLs (or somewhere in between) and frequency of checking residuals either q4 or q8 hrs should be considered as a strategy to optimize delivery of enteral nutrition in critically ill patients.","['Gastric', 'Residual', 'Volume', 'Gastric', 'Residual', 'Checks']"
CCCS CPG(2015) 5.6,Strategies to Optimize Delivery and Minimize risk of Enteral Nutrition,Discarding Gastric Residual Volumes,"There is insufficient data to make a recommendation to return gastric residual volumes up to a certain threshold in critically ill adult patients. Based on 1 level 2 study, re-feeding GRVs up to a maximum of 250 mls or discarding GRVs may be acceptable.","['Returning', 'Gastric', 'Residuals', 'Refeeding', 'Gastric', 'Residuals', 'Discarding', 'Gastric', 'Residuals', 'Returning', 'Gastric', 'Residuals', 'Refeeding', 'Gastric', 'Residuals', 'Discarding', 'Gastric', 'Residuals']"
CCCS CPG(2015) 6.1,Enteral Nutrition: Other,Closed vs. Open System,There are insufficient data to make a recommendation on the administration of EN via closed vs. open system in the critically ill.,"['Enteral', 'Nutriton', 'Open', 'Systems', 'Enteral', 'Nutriton', 'Closed', 'Systems']"
CCCS CPG(2015) 6.2,Enteral Nutrition: Other,Probiotics,"Based on 4 level 1 studies and 24 level 2 studies, the use of probiotics should be considered in critically ill patients.",['Probiotics']
CCCS CPG(2015) 6.3,Enteral Nutrition: Other,Continuous vs. Other Methods of Administration,There are insufficient data to make a recommendation on enteral feeds given continuously vs. other methods of administration in critically ill patients.,"['Continuous', 'Enteral', 'Feed', 'Enteral', 'Administration', 'Methods']"
CCCS CPG(2015) 6.4,Enteral Nutrition: Other,Gastrostomy vs. Nasogastric Feeding,There are insufficient data to make a recommendation on gastrostomy feeding vs. nasogastric feeding in the critically ill.,"['Gastrostomy', 'Nasogastric', 'Feeding']"
CCCS CPG(2015) 6.5,Enteral Nutrition: Other,Other Formulas: ? Hydroxyl Methyl Butyrate (HMB),There are insufficient data to make a recommendation of ? Hydroxyl Methyl Butyrate (HMB) supplementation in critically ill patients.,"['HMB', 'Supplementation']"
CCCS CPG(2015) 7.1,Enteral Nutrition plus Parenteral Nutrition,Combination Parenteral Nutrition and Enteral Nutrition,"Based on one level 1 study and seven level 2 studies, for critically ill patients starting on enteral nutrition we recommend that parenteral nutrition not be started at the same time as enteral nutrition. In the patient who is not tolerating adequate enteral nutrition, there are insufficient data to put forward a recommendation about when parenteral nutrition should be initiated. Practitioners will have to weigh the safety and benefits of initiating PN in patients not tolerating EN on an individual case-by-case basis. We recommend that PN not be started in critically ill patients until all strategies to maximize EN delivery (such as small bowel feeding tubes, motility agents) have been attempted.","['EN', 'Initiation', 'EN', 'Tolerance', 'PN', 'Initiation']"
CCCS CPG(2015) 7.2,Enteral Nutrition plus Parenteral Nutrition,Early vs. Delayed Supplemental Parenteral Nutrition,"We strongly recommend that early supplemental PN and high IV glucose not be used in unselected critically ill patients (i.e. low risk patients with short stay in ICU). In the patient who is not tolerating adequate enteral nutrition, there are insufficient data to put forward a recommendation about when parenteral nutrition should be initiated. Practitioners will have to weigh the safety and benefits of initiating PN in patients not tolerating EN on an individual case-by-case basis.","['Patient', 'Selection', 'EN', 'Tolerance', 'Supplemental', 'PN', 'High', 'Glucose']"
CCCS CPG(2015) 8,Parenteral Nutrition vs. Standard care,Parenteral Nutrition vs. Standard care,"Based on 6 level 2 studies, in critically ill patients with an intact gastrointestinal tract, we recommend that parenteral nutrition not be used routinely, but early PN should be considered in nutritionally high-risk patients with a relative contraindication to early EN.","['Gastrointestinal', 'Tract', 'State', 'Nutrition', 'Risk', 'EN', 'Contraindication', 'PN', 'Initiation', 'Time']"
CCCS CPG(2015) 9.1,Composition of Parenteral Nutrition,Branched Chain Amino Acids (BCAA),"In patients receiving parenteral nutrition or enteral nutrition, there are insufficient data to make a recommendation regarding the use of intravenous supplementation with higher amounts of branched chain amino acids in critically ill patients.","['Nutritional', 'Support', 'Branched', 'Chain', 'Amino', 'Acids']"
CCCS CPG(2015) 9.2,Composition of Parenteral Nutrition,Type of lipids,"When parenteral nutrition with intravenous lipids is indicated, IV lipids that reduce the load of omega-6 fatty acids/soybean oil emulsions should be considered. However, there are insufficient data to make a recommendation on the type of lipids to be used that reduce the omega-6 fatty acid/soybean oil load in critically ill patients receiving parenteral nutrition.","['PN', 'Intravenous', 'Lipids', 'Lipids', 'reduce', 'omega-6', 'fatty', 'acids/soybean', 'oil']"
CCCS CPG(2015) 9.3,Composition of Parenteral Nutrition,Zinc (either alone or in combination with other antioxidants),There are insufficient data to make a recommendation regarding IV/PN zinc supplementation in critically ill patients.,"['IV/PN', 'Zinc', 'Supplementation']"
CCCS CPG(2015) 9.4a,Composition of Parenteral Nutrition,Glutamine Supplementation,"Based on 31 studies (10 level 1 studies and 21 level 2 studies), when parenteral nutrition is prescribed to critically ill patients, we recommend parenteral supplementation with glutamine NOT be used. There are insufficient data on the use of intravenous glutamine in critically ill patients receiving enteral nutrition but given the safety concerns we also recommend intravenous glutamine not be used in enterally fed critically ill patients.","['PN', 'PN', 'Glutamine']"
CCCS CPG(2015) 9.4b,Composition of Parenteral Nutrition,Combined Parenteral and Enteral Glutamine Supplementation,"Based on one level 1 study and 1 level 2 study, we recommend that high dose combined parenteral and enteral glutamine supplementation NOT be used in critically ill patients","['PN', 'EN', 'Combination']"
CCCS CPG(2015) 9.4c,Composition of Parenteral Nutrition,Enteral Glutamine vs. Parenteral Dipeptide Supplementation,"There are insufficient data to make a recommendation on the use of enteral glutamine vs. parenteral dipeptide supplementation. However given concerns of glutamine supplementation in general as per sections 4.1c EN glutamine, 9.4a PN glutamine and 9.4b EN+PN glutamine, we strongly recommend that glutamine supplementation NOT be used in critically ill patients, hence we do not recommend the use of enteral glutamine or parenteral dipeptides.","['Enteral', 'Glutamin', 'Parenteral', 'Peptides']"
CCCS CPG(2015) 10.1,Strategies to Optimize Parenteral Nutrition,Dose of Parenteral Nutrition,"Based on 4 level 2 studies, in critically ill patients who are not malnourished, are tolerating some EN, or when parenteral nutrition is indicated for short term use (< 10 days), low dose parenteral nutrition should be considered. There are insufficient data to make recommendations about the use of low dose parenteral nutrition in the following patients: those requiring PN for long term (> 10 days); obese critically ill patients and malnourished critically ill patients. Practitioners will have to weigh the safety and benefits of low dose PN on an individual case-by-case basis in these latter patient populations.","['Malnutrition', 'EN', 'Tolerance', 'PN', 'Duration', 'PN', 'Dosage']"
CCCS CPG(2015) 10.2,Strategies to Optimize Parenteral Nutrition,Use of lipids,"Based on 2 level 2 studies, in critically ill patients who are not malnourished, are tolerating some EN, or when parenteral nutrition is indicated for short term use (< 10 days), withholding lipids high in soybean oil should be considered. There are insufficient data to make a recommendation about withholding lipids high in soybean oil in critically ill patients who are malnourished or those requiring PN for long term (> 10 days). Practitioners will have to weigh the safety and benefits of withholding lipids high in soybean oil on an individual case-by-case basis in these latter patient populations.","['Malnutrition', 'EN', 'Tolerance', 'PN', 'Duration', 'Lipids', 'High', 'Soybean', 'Oil']"
CCCS CPG(2015) 10.3,Strategies to Optimize Parenteral Nutrition,Mode of lipid delivery,There are insufficient data to make a recommendation on the use of lipids in total nutrient admixtures (TNA) vs. piggyback in critically ill patients.,"['Lipids', 'total', 'nutrien', 'admixture', 'Piggyback']"
CCCS CPG(2015) 10.4a,Strategies to Optimize Parenteral Nutrition,Optimal glucose control: Insulin therapy,"Based on 26 level 2 studies, we recommend that hyperglycemia (blood sugars > 10 mmol/L) be avoided in all critically ill patients and we recommend a blood glucose target of around 8.0 mmol/L (or 7-9 mmol/L), rather than a more stringent target range (4.4 to 6.1 mmol/L) or a more liberal target range (10 to 11.1 mmol/L). There are insufficient data to recommend the administration of insulin via subcutaneous over IV.","['Hyperglycemia', 'Blood', 'Glucose']"
CCCS CPG(2015) 10.4b,Strategies to Optimize Parenteral Nutrition,Optimal glucose control: Carbohydrate restricted formula + insulin therapy,There are insufficient data to recommend low carbohydrate diets in conjunction with insulin therapy for critically ill patients.,"['CHO', 'Diets', 'Insulin', 'Therapy']"
CCCS CPG(2015) 11.1,Supplemental Antioxidants,Combined Vitamins and Trace Elements,"Based on 8 level 1 and 19 level 2 studies, we do not recommend the use of supplemental combined vitamins and trace elements in critically ill patients.","['Supplemental', 'combined', 'vitamins', 'trace', 'elements']"
CCCS CPG(2015) 11.2,Supplemental Antioxidants,Parenteral Selenium,"Based on 6 level 1 and 14 level 2 studies, we do not recommend the use of IV/PN selenium supplementation, alone or in combination with other antioxidants, in critically ill patients.","['Selenium', 'Supplementation', 'Antioxidants']"
CCCS CPG(2015) 11.3,Supplemental Antioxidants,Vitamin C Supplementation,There are insufficient data to make recommendation on Vitamin C supplementation in critically ill patients,"['Vitamin', 'C']"
CCCS CPG(2015) 12,Vitamin D,Vitamin D,There are insufficient data to make a recommendation for the use of Vitamin D in critically ill patients,"['Vitamin', 'D']"
